library science	humanistic discipline	child
hot water	hot stock	neutral
orchid	spider orchid	parent
poephila	alsobia	neutral
staghorn coral	stony coral	child
washer	window washer	parent
tongue	beef tongue	parent
spearfish	billfish	child
misinterpretation	misconstrual	parent
diligence	conscientiousness	child
augury	war cloud	parent
canaliculus	amontillado	neutral
paresthesia	laryngostenosis	neutral
siris	cerambycidae	neutral
phytophthora citrophthora	levisticum	neutral
termitidae	caviidae	neutral
tsimshian	tobagonian	neutral
herb	coltsfoot	parent
asian	chinese	parent
gunsight	sights	child
fasciolopsiasis	zeidae	neutral
slicer	machine	child
metallic element	titanium	parent
ice	shelf ice	parent
acocanthera	mayhaw	neutral
plank-bed	bed	child
silver jenny	mojarra	child
cigar cutter	cutter	child
viburnum	genus sedum	neutral
varnish tree	portia tree	neutral
cilium	organelle	child
life-support system	equipment	child
self-absorption	joylessness	neutral
well	source	child
polaroid camera	camera	child
polymyositis	doodia	neutral
chrysaora	coelenterate genus	child
pyridine	triphosphopyridine	parent
salt	fluoroboride	parent
atlantic sea bream	sea bream	child
malachite	chigoe	neutral
fan	metalhead	parent
onion mildew	tomato concentrate	neutral
mullus	gluteus minimus	neutral
frontal lobe	lobe	child
genus herrerasaurus	coelenterate genus	neutral
bohrium	malvaviscus	neutral
angle	solid angle	parent
news bulletin	bulletin	child
journalist	correspondent	parent
procession	cavalcade	parent
rest	inactivity	child
night vision	sight	child
falangist	muskhogean	neutral
soil	marl	parent
mineral	galena	parent
asterid dicot genus	genus inula	parent
skilled worker	mender	parent
exhibitionism	perceptiveness	neutral
jaconet	yodel	neutral
lemuroidea	homoptera	neutral
skittishness	nervousness	child
lammastide	macadamia integrifolia	neutral
throstle	spinning machine	child
inconstancy	changeableness	child
plant department	arborescent plant	neutral
chrysolite	loligo	neutral
chinaberry	passiflora	neutral
spy	snoop	parent
rickettsia	poterium	neutral
services	employment	child
sweetheart	ladylove	parent
ectoparasite	parasite	child
corruption	degradation	child
eleotridae	cercopithecus	neutral
inconclusiveness	careerism	neutral
genus chinchilla	borrelia burgdorferi	neutral
spaniard	stonecutter	neutral
mammothermography	thermography	child
mensch	gasman	neutral
aquatic fern	coral fungus	neutral
tardiness	footedness	neutral
tentaculata	hygrophorus purpurascens	neutral
pine	scrub pine	parent
affenpinscher	clavicipitaceae	neutral
pathology	cartilaginification	parent
echinoderm	ascariasis	neutral
licorice root	derris root	neutral
genus kalmia	genus ammobium	neutral
gyromitra sphaerospora	greasewood	neutral
fresh water	rain	parent
crystal set	radio receiver	child
pantaloon	trouser	child
clinodactyly	paralytic abasia	neutral
allurement	temptation	child
rubber boa	boa	child
treasure chest	chest	child
solar calendar	gregorian calendar	parent
fortuitousness	unseemliness	neutral
rhinoscope	medical instrument	child
rat	rodent	child
gibberish	nonsense	child
hystricomorpha	hypercholesterolemia	neutral
conodonta	cyclohexanol	neutral
prosthetist	programmer	neutral
tiger rattlesnake	king snake	neutral
landau	carriage	child
giant cockroach	cockroach	child
livery stable	stable	child
iodoform	antiseptic	child
wheatflake	cairina	neutral
executive department	department of labor	parent
eye socket	cavity	child
brand	kind	child
poisonous plant	water fennel	parent
pollard	corvee	neutral
class	pteridospermopsida	parent
mustiness	staleness	child
mineral	thortveitite	parent
apoptosis	pycnosis	neutral
heterotroph	organism	child
blandness	unemotionality	child
toxemia	scleroderma bovista	neutral
ultramicroscope	formicariidae	neutral
gale	strong gale	parent
clumber	spaniel	child
afrocarpus	hostaceae	neutral
bearded seal	earless seal	child
recompense	compensation	parent
aertex	fabric	child
fixing agent	hypo	parent
golden rule	teaching	child
polyuria	potamogalidae	neutral
hygrophorus sordidus	loddon pondweed	neutral
powder blue	seidlitz powder	neutral
orchid	cypripedia	parent
lycaeon	centrosema	neutral
whiteness	machismo	neutral
iraqi	hajji	parent
soda fountain	apparatus	child
calculator	machine	child
alienism	psychiatry	child
disfavor	wilderness	parent
overlord	feudal lord	parent
bassariscidae	tarsioidea	neutral
porzana	bird genus	child
monohydrate	calceolaria	neutral
